visit_id,visit_date,visit_type,visit_type_label,title,url
56,2025-12-02 15:36:46,1,Interacted with link,"Firewall Penetration Testing: Steps, Methods, and Tools",https://www.youtube.com/watch?v=0Izu0J6iSoM
55,2025-12-02 15:36:20,2,Inputted link or selected from suggestions,firewall penetration testing steps methods tools - Google Search,https://www.google.com/search?q=firewall+penetration+testing+steps+methods+tools&source=hp
54,2025-12-02 15:35:37,1,Interacted with link,AI Security Exposed: Why 95% of Companies Are Vulnerable,https://www.youtube.com/watch?v=QtwhEz-aON4
53,2025-12-02 15:34:50,1,Interacted with link,Threats Vulnerabilities and Exploits,https://www.youtube.com/watch?v=8zSoyAmHHc4
52,2025-12-02 15:34:20,1,Interacted with link,threats vulnerabilities and exploits - YouTube,https://www.youtube.com/results?search_query=threats+vulnerabilities+and+exploits
51,2025-12-02 15:33:36,2,Inputted link or selected from suggestions,youtube - Google Search,https://www.google.com/search?q=youtube&source=hp
50,2025-12-02 15:33:21,1,Interacted with link,Using a LAN scan to find INTERNAL vulnerabilities,https://www.youtube.com/watch?v=GD88Pp75Klw
49,2025-12-02 15:33:05,1,Interacted with link,lan scan internal vulnerabilities - YouTube,https://www.youtube.com/results?search_query=lan+scan+internal+vulnerabilities
48,2025-12-02 15:32:28,5,301 reroute (permanent redirect),YouTube,https://www.youtube.com/
46,2025-12-02 15:32:27,2,Inputted link or selected from suggestions,,http://youtube.com/
47,2025-12-02 15:32:27,5,301 reroute (permanent redirect),,https://youtube.com/
45,2025-12-02 15:31:45,1,Interacted with link,Inspect network activity | Chrome DevTools | Chrome for developers,https://developer.chrome.com/docs/devtools/network/
44,2025-12-02 15:31:19,1,Interacted with link,Inspect network activity | Chrome DevTools | Chrome for developers,https://developer.chrome.com/docs/devtools/network/
43,2025-12-02 15:31:14,2,Inputted link or selected from suggestions,chrome devtools network inspector guide - Google Search,https://www.google.com/search?q=chrome+devtools+network+inspector+guide&source=hp
42,2025-12-02 15:30:49,5,301 reroute (permanent redirect),Competitive Analysis | Similarweb,https://lp.similarweb.com/competitive-analysis/
41,2025-12-02 15:30:48,6,302 reroute (temporary redirect),,https://lp.similarweb.com/?utm_source=google&utm_medium=cpc
40,2025-12-02 15:30:47,1,Interacted with link,,https://www.google.com/aclk?sa=l&ai=DChcSEwj
39,2025-12-02 15:30:39,2,Inputted link or selected from suggestions,URLScan - analyse web behaviour - Google Search,https://www.google.com/search?q=URLScan+-+analyse+web+behaviour&source=hp
38,2025-12-02 15:30:26,1,Interacted with link,Web Request Inspector & Probe Service | Request Inspector,https://requestinspector.com/
37,2025-12-02 15:30:14,1,Interacted with link,Web Request Inspector & Probe Service | Request Inspector,https://requestinspector.com/
36,2025-12-02 15:30:09,2,Inputted link or selected from suggestions,request inspector- test API requests - Google Search,https://www.google.com/search?q=request+inspector-+test+API+requests&source=hp
35,2025-12-02 15:29:52,1,Interacted with link,SQL Injection Prevention - OWASP Cheat Sheet Series,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html
34,2025-12-02 15:29:40,1,Interacted with link,SQL Injection | OWASP Foundation,https://owasp.org/www-community/attacks/SQL_Injection
33,2025-12-02 15:29:31,2,Inputted link or selected from suggestions,sql injection cheat sheet - owasp - Google Search,https://www.google.com/search?q=sql+injection+cheat+sheet+-+owasp&source=hp
32,2025-12-02 15:29:07,1,Interacted with link,white papers - NeoQuant,https://neoquant.com/white-papers/
31,2025-12-02 15:29:03,6,302 reroute (temporary redirect),,http://neoquant.com/white-papers
30,2025-12-02 15:28:57,2,Inputted link or selected from suggestions,Neoquant finance - internal API docs - Google Search,https://www.google.com/search?q=Neoquant+finance+-+internal+API+docs&source=hp
29,2025-12-02 15:27:55,1,Interacted with link,Contact - NeoQuant,https://neoquant.com/contact/
28,2025-12-02 15:27:20,1,Interacted with link,About us - NeoQuant,https://neoquant.com/about/
27,2025-12-02 15:26:44,1,Interacted with link,Data Platform - NeoQuant,https://neoquant.com/products/data-platform/
26,2025-12-02 15:26:16,1,Interacted with link,NeoQuant - Data Engineering & Digital Finance,https://neoquant.com/
25,2025-12-02 15:25:58,2,Inputted link or selected from suggestions,neo quant - Google Search,https://www.google.com/search?q=neo+quant&source=hp
24,2025-12-02 15:24:15,6,302 reroute (temporary redirect),Thank you - Practical DevSecOps,https://www.practical-devsecops.com/thank-you/
23,2025-12-02 15:24:02,1,Interacted with link,Common-API-Attack-Vectors.pdf,https://www.practical-devsecops.com/downloads/Common-API-Attack-Vectors.pdf
22,2025-12-02 15:23:29,6,302 reroute (temporary redirect),API Security Fundamentals ebook - Practical DevSecOps,https://www.practical-devsecops.com/api-security-fundamentals/
21,2025-12-02 15:23:28,1,Interacted with link,,https://www.google.com/url?q=https://www.practical-devsecops.com/api-security-fundamentals/
20,2025-12-02 15:23:11,2,Inputted link or selected from suggestions,Common api vectors.pdf download - Google Search,https://www.google.com/search?q=Common+api+vectors.pdf+download&source=hp
19,2025-12-02 15:22:48,1,Interacted with link,What is SQL Injection? Tutorial & Examples | Web Security Academy,https://portswigger.net/web-security/sql-injection
18,2025-12-02 15:22:30,1,Interacted with link,SQL injection cheat sheet | Web Security Academy,https://portswigger.net/web-security/sql-injection/cheat-sheet
